Survey Date,Initials,Region,Area Covered,Dist (nm) ,Time (hr),# Er seen,# Er photographed,Location of sighting,Comments
11/5/2003,PJG,NWC,Tatoosh to SLR,27,2.5,0,0,,
11/5/2003,PJG,NWC,SLR to Gut,27,3,2,2,"1=Guano Rck., 2=Gut moving east to Mushroom",
2/25/2005,PJG/RSJ,SJF,NB to Tatoosh,6,0.5,0,0,,
2/25/2005,PJG/RSJ,NWC,Tatoosh to Sea Lion Rock,26,3,0,0,,
3/24/2005,PJG/NP,SJF,NB to Tatoosh,6,0.5,0,0,,
3/24/2005,PJG/NP,NWC,Tatoosh to Sea Lion Rock,26,3,0,0,,
5/26/2005,PJG/AH,SJF,NB to Tatoosh,6,0.5,0,0,,
5/26/2005,PJG/AH,NWC,Tatoosh to Sea Lion Rk & return,52,4,0,0,,
6/8/2005,MG,SJF,NB to Tatoosh to Snow Crk.,17,1.07,0,0,,
6/8/2005,MG,NWC,Tatoosh to 48o and return,55,3.78,1,1,Anderson Rock,
6/9/2005,MG,SJF,NB to Tatoosh to Sekiu & back,39,2.24,0,0,,
6/9/2005,MG,NWC,Tatoosh to 48o and return,54,3.22,2,2,off Mad Bear Rock and Cape Alava,
6/14/2005,PJG/RSJ,SJF,NB to Tatoosh and return,12,1,0,0,,
6/14/2005,PJG/RSJ,NWC,Tatoosh to West Bodelteh,26,2,1,1,Greenbank,
6/15/2005,PJG/RSJ,SJF,NB to Tatoosh and return,12,1,0,0,,
6/15/2005,PJG/RSJ,NWC,Tatoosh to Sea Lion Rock,25,3,2,2,Guano Rock and East Bodelteh,
6/22/2005,PJG/RSJ,SJF,NB to Tatoosh,6,0.5,0,0,,
6/22/2005,PJG/RSJ,NWC,Tatoosh to Sea Lion Rk & return,52,4,1,1,East Bodelteh,
6/23/2005,PJG/RSJ,SJF,NB to Tatoosh,6,0.5,0,0,,
6/23/2005,PJG/RSJ,NWC,Tatoosh to East Bodelteh,13,1,0,0,,
8/3/2005,MG,SJF,NB to Sekiu Pt to Koitlah & back,31.4,2.2,1,1,between 1st and 2nd Beach,
8/4/2005,MG,SJF,NB to Tatoosh and return,12,0.77,0,0,,
8/4/2005,MG,NWC,Tatoosh to Carroll Is and return,55,4,1,1,Ozette River mouth,
8/11/2005,PJG/RSJ,SJF,NB to Tatoosh and return,6,0.5,2,1,Green buoy,
8/11/2005,PJG/RSJ,NWC,Tatoosh to Sea Lion Rock,26,3,2,2,1 Er at Pt of the Arches; 1 Er at Ozette River Reef;,
8/26/2005,PJG/RSJ,SJF,NB to Seal Rock to Tatoosh,9,1,2,2,2 at Green Buoy,
8/26/2005,PJG/RSJ,NWC,Tatoosh to Spike Rock,8,2,4,3,1 Er at Skagway; 1 Er at Portage Head; 1 Er at Shi Shi;,
9/22/2005,MG/RSJ,SJF,NB to Tatoosh and return,12,1.12,2,2,2 Er at 2nd Beach,
9/22/2005,MG/RSJ,NWC,Tatoosh to Ozette Is and return,34,2.28,2,1,2 Er off Shi Shi Beach,
9/23/2005,MG/RSJ,SJF,NB to Jensen Creek and return,11,1.05,8,8,3 Er at 2nd Beach; 1 Er at 3rd Beach; 1 Er at Sail Rock; 2 Er off Bullman Beach; 1 Er at Jensen Crk,
10/13/2005,MG/NP,SJF,NB to Sekiu Pt and return,27,2.25,2,1,1 Er at Green buoy (photo); 1 Er at 3rd Beach (no photo);,
5/4/2006,MEG,SJF,NB to Tatoosh&return,12,0.63,0,0,,
5/4/2006,MEG,NWC,Tatoosh to end of Makah U&A (42o02.25'N),24,1.97,15,12,"1=Portage Head, 2=Makah Bay, 1=Skagway, 1=Shipwreck Rk, 3=Ozette R, 1=White Rk, 6=Yellow Bank",
5/10/2006,PJG,WSJF,NB to Tatoosh,6,0.5,0,0,,
5/10/2006,PJG,NWC,Tatoosh to Sea Lion Rock,24,3,3,3,"1=Ling Cod Alley, 2=Sea Lion Rock, 3= Sea Lion Rock",
6/7/2006,PJG,WSJF,NB to Tatoosh,6,0.5,0,0,,
6/7/2006,PJG,NWC,Tatoosh to Sea Lion Rock,24,3,5,4,ER all near south Yellow Banks,
6/8/2006,PJG,WSJF,NB to Kydaka Pt. to West Waadah Is.,25,2.5,1,1,1=Green Buoy,
6/14/2006,MEG,SJF,NB to Tatoosh&return&to Rasmussen Crk,16.75,1.08,1,1,Third Beach,
6/14/2006,MEG,NWC,Tatoosh to South of Ozette Island,19,1.9,4,1,South of Ozette Island to White Rock,
6/15/2006,RJ,OR,Rogue Reef to Cape Blanco and return,50,3,1,1,1=at Cape Blanco,
6/22/2006,PJG,WSJF,NB to Tatoosh,6,0.5,0,0,,
6/22/2006,PJG,NWC,Tatoosh to West Bodelteh,13,1.5,0,0,,
6/23/2006,PJG,WSJF,NB to Tatoosh and return,12,1,0,0,,
6/23/2006,PJG,NWC,Sea Lion Rock to Tatoosh,24,3,0,0,,
6/24/2006,PJG,NWC,LaPush to desruction Island and return,25,3,0,0,,
8/8/2006,RB,OR,Rogue Reef to Cape Blanco and return,50,3,0,0,,
8/22/2006,PJG,WSJF,NB to Tatoosh and return,12,1,0,0,,
8/22/2006,PJG,NWC,Tatoosh to Anderson Point,7,1,7,1,1= Waatch Point 8/23/06,
8/23/2006,PJG,WSJF,Tatoosh to NB,6,0.5,0,0,,
8/23/2006,PJG,NWC,Tatoosh to Sea Lion Rock,24,3,6,5,"2=S. Ozette Is, 3=White Rock, 1= 2 miles S. Yellow Banks",
8/24/2006,PJG,WSJF,NB to Tatoosh,6,0.5,0,0,,
8/24/2006,PJG,NWC,West Bodelteh to Tatoosh,13,2,13,11,"2=S. Point of Arches, 6=Anderson Pt., 4= Waatch Pt., 1=Green Bank",
9/7/2006,MEG,SJF,NB to Sekiu Point and return,27,2,7,7,4=Sail River; 2=Sail Rock; 1=Snow Creek,
9/8/2006,MEG,SJF,NB to Tatoosh,6,0.38,0,0,,
9/8/2006,MEG,NWC,Tatoosh to Norweig Mem,24,1.98,15,15,1=Secret Bch; 1=Andersen Pt; 2=Pt of Arches; 1=Bodelteh; 4=Ozette Is; 4=Sand Pt; 1=Hand Rock; 1=Norweig Mem;,
9/28/2006,MEG,SJF,NB to Tatoosh and return,12,0.73,5,5,1=Warmhouse; 1=Mushroom; 1=Koitlah(same as Mushroom earlier); 1=Jetty(same as Warmhouse); 1=Waadah,
9/29/2006,MEG,SJF,NB to Koitlah to Kydaka Pt and return,25,1.78,7,6,2=W.Waadah; 1=middle of Jetty(lost); 1=Sail R./3rd Bch; 1=Sail Rk(same as 9/28 Warmhouse Er); 1=Snow Crk(same as Sail Rk Er); 1=Sail River(same as earlier Sail R Er),
10/11/2006,PJG,WSJF,NB to Tatoosh and return,12,1,0,0,,
10/11/2006,PJG,NWC,Tatoosh to Sea Lion Rock,24,3,4,4,"3= Guano Rock, 1= Hand Rock",
10/12/2006,PJG,WSJF,NB to Tatoosh and return,12,2,6,5,"1= Waadah Is., 3=Warmhouse Beach, 2=E. Slant Rock",
10/12/2006,PJG,WSJF,NB to Rays and return,16,1.5,3,3,"1=Third Beach, 1=Seal Rock, 1=Jenson Creek",
1/31/2007,MG/PJG,SJF,Green Buoy to tatoosh and return,12,1,0,0,,
1/31/2007,MG/PJG,NWC,Tatoosh to Sea Lion Rock and return,55,4,0,0,,
4/3/2007,RJ/HZ,SJF,Green Buoy to tatoosh and return,12,1,?,0,check with Ryan,
4/3/2007,RJ/HZ,NWC,Tatoosh to Sea Lion Rock and return,55,4,?,0,check with Ryan,
5/23/2007,PJG/RJ,SJF,Green Buoy to tatoosh and return,12,1,0,0,,
5/23/2007,PJG/RJ,NWC,Tatoosh to Sea Lion Rock and return,55,4,0,0,,
5/24/2007,PJG/RJ,SJF,Green Buoy to tatoosh and return,12,1,0,0,,
5/24/2007,PJG/RJ,NWC,Tatoosh to Sea Lion Rock and return,55,4,1,0,1= north side of East Bodelteh,
6/19/2007,MG/PJG,SJF,NB to Tatoosh and return,12,0.88,3,2,2= West of Waadah Is.; 1= west end of jetty (this Er was same as the 1st Er photo'ed earlier),
6/19/2007,MG/PJG,NWC,Tatoosh cut to N. Carroll Is. and return,54,3.83,0,0,,
6/20/2007,MG/PJG,SJF,NB to Sekiu Pt to Tatoosh Is and return,39,2.9,0,0,,
7/8/2007,MG/PJG,SJF,NB to Tatoosh and return,12,0.83,1,1,1 Er at the Green Buoy,
7/8/2007,MG/PJG,NWC,Tatoosh cut to N. Carroll Is. ,27,1.72,6,5,1=Waatch Pt;lost); 1= off Sand Pt; 1= off White Rock; 3= off Cooke Rock;,
7/14/2007,MG/PJG,SOR,Rogue River jetty to Cape Blanco,28,1.53,7,7,3= Orford Reef; 4= Cape Blanco (later about 15 Er total sighted at Cape Blanco),
7/27/2007,PJG/JS,SJF,Green Buoy to tatoosh and return,12,1,4,3,"2= Green Bouy, 1= Koitlah Point, 3= Slant Rock",
7/27/2007,PJG/JS,NWC,Tatoosh to Sea Lion Rock and return,55,4,8,3,"1=Makah Bay, 2=Cook Rock, 3= Duk Point, 4=South Ozette island, 5= 2 miles N. Hand Rock, 6=Bodelteh 2- ER, ",
7/28/2007,PG/JS,SJF,First Beach to Tatoosh and return,12,1,3,3,3=Three Er off First Beach,
8/14/2007,MG/PJG,SJF,3rd Beach to Tatoosh and return,13,0.9,3,2,1=3rd Beach; 1= Garbage Dump; 1= Koitlah Pt.(no photo),
8/14/2007,MG/PJG,NWC,Tatoosh cut to N. of Carroll Is.,27,1.6,6,5,1=Green Bank (lost); 1=E. of Strawberry Rock; 2=Anderson Head; 1=Portage Head; 1=Cape Alava;,
8/24/2007,PG/JS,SJF,Green Buoy to tatoosh and return,12,1,2,2,2= East Koitlah Point,
8/24/2007,PG/JS,NWC,Tatoosh to East Bodelteh and return,26,2,0,0,,
8/29/2007,MG/MG,SJF,Neah Bay to Tatoosh & return,12,0.75,1,1,1 Er= outside the jetty,
8/29/2007,MG/MG,NWC,Tatoosh to Carroll Island & return,56,3.55,2,2,2 Er= Portage Head,
8/30/2007,MG/MG,SJF,Neah Bay to Sekiu Pt. & return,13.5,0.75,4,4,1 Er= E. of Jensen Creek; 1 Er= Shipwreck Pt.; 2 Er= Kydaka Pt.,
9/16/2007,MG/JS,SJF,Green Buoy to Tatoosh to Sekiu Point,25.5,1.73,4,4,1=East Waadah Is; 1=off Bullman Beach; 1=Chito Beach; 1=south of Chito Beach,
9/26/2007,MG/JS,SJF,Green Buoy to tatoosh and return,12,0.53,3,3,2=west of Waadah Island; 1=Warmhouse Beach(same Er as 1st one at Waadah earlier),
9/26/2007,MG/JS,NWC,Tatoosh to north Carroll Is and return,53,3.53,0,0,,
2/20/2008,MG/PJG,SJF,Neah Bay to Sekiu Pt & return,27,1.483,0,0,,
4/3/2008,MG/JS,SJF,Neah Bay to Tatoosh & return,12,0.7,0,0,,
4/3/2008,MG/JS,NWC,Tatoosh to Carroll Is & return,56,3.45,5,2,2 Er=North of Carroll Is; 2Er=Hand Rock; 1Er=South of White Rock (lost),
4/26/2008,MG/PJG/JH,SOR,Rogue River jetty to Cape Blanco,28,1.3,3,2,"2 Er=Orford Reef (Er travelling, not forageing)",
6/19/2008,MG/JH,SJF,NB to Tatoosh to Sekiu Pt & return,39,2.33,1,1,1 Er=Sail River,
6/19/2008,MG/JH,NWC,Tatoosh to South Ozette Island,18,1.33,2,2,2 Er= Portage Head,
7/15/2008,MG/JS,SJF,2nd Beach to Tatoosh and return,16,1.1,2,2,2 Er=2nd Beach,
7/15/2008,MG/JS,NWC,Tatoosh to Carroll Is & return,54,3.4,1,1,1 Er=Shi Shi Beach to Pt. of the Arches,
7/26/2008,PJG/RB/MT,SOR,Rogue River jetty to Cape Blanco to Pyramid Rk,53,2.83,21,15,7Er= Cape Blanco; 7Er= Cape Blanco offshore; 4Er= Cape Blanco north; 3Er= off Humbug Mt.,
8/13/2008,MG/JS,SJF,2nd Beach to Tatoosh Island,7,0.45,2,2,2 Er= 2nd Beach,
8/13/2008,MG/JS,NWC,Tatoosh to West Bodelteh,16,1.1,16,16,4 Er=Greenback; 2 Er= Waatch Pt; 2 Er= Makah Bay; 2 Er= Portage Head; 6 Er= Guano Rock,
9/3/2008,MG/PJG/JH/JS,SJF,NB to Tatoosh and return,12.5,0.92,0,0,,
9/3/2008,MG/PJG/JH/JS,NWC,Tatoosh to Sea Lion Rock and return,56,3.83,4,4,1Er=Green Bank; 1Er=Makah Bay; 1Er=So. Of Bodeltehs (no photo); 2Er=Green Bank (same),
9/4/2008,MG/JH/JS,SJF,NB to Slip Point ,20.5,2.35,10,10,"2Er=Sail Rk; 2Er=W.Bullman; 1Er=Bullman; 1Er=Shipwreck Pt; 1Er=Kydaka Pt; 1Er=E.Kydaka; 1Er=W. Sekiu; 1Er=Clallum Bay (1Mn=E. Bullman and W. Sail River, same whale)",
9/10/2008,MG/JH,SJF,NB to Tatoosh,6,0.4,1,1,1Er= NW Waadah Is,
9/10/2008,MG/JH,NWC,Tatoosh to Greenbank,2.5,0.3,0,0,,
9/11/2008,MG/PJG/JH,SJF,NB to Tatoosh cut,7,0.53,0,0,,
9/11/2008,MG/PJG/JH,NWC,Tatoosh cut to Sea Lion Rk & return,56,4.1,4,2,1Er=N. Waatch Pt (lost); 1Er=N. Guano Rk; 1Er=S. Yellow Bank (lost); 1Er=E. Hand Rk,
10/28/2008,PJG/JH/JS,SJF,Green Buoy to E. Bullman Beach,3,0.25,20,16,2Er= Sail Rk; 4Er= W. Bullman; 4Er= Sail Rk; 6Er= E. Bullman,
10/29/2008,PJG/JH/JS,SJF,Green Buoy to Jensen Creek,5.5,0.4,33,26,2Er=Green Buoy-1st Bch; 2Er= 3rd Bch; 2Er= W. Sail River; 1Er= mouth of Sail R.; 1Er= W. Sail R.; 3Er= Seal Rk; 4Er= W. Bullman Bch; 5Er= Bullman offshore; 2Er= way off Bullman; 1Er= offshore E. Bullman; 2Er= Rasmussen Crk; 2Er= Jensen Crk ,
10/30/2008,PJG/JH/JS,SJF,Green Buoy to Tatoosh to Sekiu Pt to 3rd Bch,33,2.583,15,14,3Er=W.Waadah; 1Er=midway; 3Er=Bullman; 5Er=Snow Crk; 2Er=Sail R; 1Er=3rd Beach,
11/18/2008,PJG/JH/JS,SJF,Green Buoy to Rasmussen Crk to Sail Rock,8,0.5,13,8,1Er=offshore; 3Er=Sail River; 4Er=Seal Rock; 1Er= Rasmussen Creek; 2Er= Bullman Beach; 2Er=Sail Rock,
11/19/2008,PJG/JH/JS,SJF,NB to Bullman to Sail River,4.3,0.5,4,2,2Er- Bullman Beach,
12/10/2008,PJG/JH/JS,SJF,Green Buoy to W.Koitlah to Kydaka to Bullman,22.5,2.783,6,5,1Er= Sail Rock; 1Er= Bullman Beach; 1Er= Chito Beach; 3Er= Bullman Beach,
1/22/2009,"PJG/JH,JS",SJF,NB to Tatoosh and return,12,1,0,0,,
1/22/2009,"PJG/JH,JS",NWC,Tatoosh to Sea Lion Rk  & return,56,6,2,0,3 n.mi. offshore Hand Rock,
4/9/2009,JS/JH,SJF,Neah Bay to Tatoosh,6,0.45,0,0,,
4/9/2009,JS/JH,NWC,Tatoosh to Cape Alava,20,1.75,2,2,2 Er= West Bodelteh/Umatilla,
4/29/2009,MG/JS,SJF,Neah Bay to Tatoosh & return,12,0.6,0,0,,
4/29/2009,MG/JS,NWC,Tatoosh to White Rock & return,38,2.35,18-26,,2Er=Strawberry Rk(noph);1Er=off Portage Hd(noph);1Er=off Portage Hd;1Er=off mouth Ozette Riv;7-15Er=W.of White Rk;2Er=Umatilla;2-3Er=Sof Umatilla;2-3Er=Umatilla Rf;,
5/15/2009,PJG,SJF,Neah Bay to Tatoosh & return,12,1.167,0,0,,
5/15/2009,PJG,NWC,Tatoosh to Sea Lion Rk  & return,56,3.67,1,1,1 Er= Sea Lion Rock,
5/16/2009,PJG,SJF,Neah Bay to Tatoosh & return,12,1,0,0,,
5/16/2009,PJG,NWC,Tatoosh to SE Ozette Is & return,36,3.5,0,0,,
5/20/2009,MG/FG,SJF,NB to Tatoosh to Sekiu Pt & return,39,2.383,6,4,1 Er=outside Jetty W.; 1Er=entrance to Gut (noph); 2Er=Warmhouse; 1Er=Shipwreck Pt; 1Er=Ray's(noph),
5/27/2009,MG/JS,SJF,Neah Bay to Tatoosh and return,12,0.85,0,0,,
5/27/2009,MG/JS,NWC,Tatoosh to Sea Lion Rk  & return,54,3.683,3,2,1 Er=Waatch; 1Er=SW of Yellow Bank (noph); 1Er= S. of Umatilla,
6/17/2009,MG/PJG/Juliana,SJF,Seal Rock to Tatoosh & return,9.8,0.6,2,2,1 Er= Warmhouse Beach; 1 Er = Chibodehl Rocks,
6/17/2009,MG/PJG/Juliana,NWC,Tatoosh to Sea Lion Rk  & return,33.75,1.85,3,3,1 Er = No. of Cannonball; 1 Er = NE of Ozette Island; 1 Er = south of Greenbank,
6/18/2009,MG/PJG/Juliana,SJF,Neah Bay to Sekiu River & return,18,1.3,4,4,1 Er = E. of Sail Rock; 1 Er = E. of Rasmussen Creek; 1 Er = Shipwreck Point; 1 Er = Rasmussen Creek(same as 2nd sighting),
7/1/2009,MG/JH/Juliana,SJF,NB to Tatoosh to Sekiu Pt & return,39,3.133,10,9,2 Er= Koitlah/Warmhouse; 2 Er= Koitlah/Jetty(same Er as before); 1 Er=Rasmussen Crk; 1 Er= Chito Beach; 1 Er= Shipwreck Pt; 2 Er=Rasmussen Crk; 1 Er=3rd Beach,
7/1/2009,MG/JH/Juliana,NWC,Tatoosh to Anderson Head & return,6,0.55,0,0,,
7/29/2009,PJG,NCA,Crescent City to NW Seal Rk&return,20,3,3,2-3,3 Er = SW Jon's Rock,
7/30/2009,PJG,SOR,Rogue River to Cape Blanco&return,58,4,2,2,2 Er = Cape Blanco,
8/18/2009,MG/JH/Juliana,SJF,Neah Bay to Tatoosh,6,0.42,1,,1 Er = Koitlah Pt,
8/18/2009,MG/JH/Juliana,NWC,Tatoosh cut to Carroll Island,27,1.82,11,10,1Er=Waatch Pt;1Er=Portage Hd;1Er=Shipwreck Rk;1Er=Wof Cannonball;1Er=Sof Bodeltehs;1Er=off Bodeltehs;1Er=Sof Sail Bodelteh;2Er=Sof Sand Pt;1Er=off Sand Pt; 1Er=N.Carroll Is.,
9/2/2009,MG/JH/JS,SJF,NB to Tatoosh and return,12,0.75,3,3,2 Er=Koitlah Pt; 1 Er= E.of Koitlah Pt,
9/2/2009,MG/JH/JS,NWC,Tatoosh cut to Sea Lion Rock,28,2.12,5,5,1 Er=Skagway; 1 Er-Anderson Head; 1 Er=S.of Pt of the Arches; 1 Er=N.of Yellowbank; 1 Er=S.of Yellowbank,
9/3/2009,MG/JH,SJF,Neah Bay to Sekiu Pt & return,27,1.78,0,0,,
9/14/2009,JH/JS,SJF,Green buoy to Sekiu Pt & return,27,1.78,3,3,1 Er=Seal Rock; 2 Er=West of Bullman Beach,
9/15/2009,JH/JS,SJF,Green buoy to Tatoosh,6,0.75,7,6,3-4 Er=Waadah; 2 Er=Koitlah; 1 Er=W. of Chibahdehl Rocks,
9/15/2009,JH/JS,NWC,Tatoosh to Sea Lion Rk ,28,3.28,7,7,2 Er=Green Bank; 1 Er=Umatilla; 3 Er=N.of Carroll Is.; 1 Er=Sea Lion Rock,
9/15/2009,MG/JH,SOR,Rogue River to Cape Blanco&return,52,3,0,0,,
9/22/2009,MG/JS,SJF,NB to Tatoosh to Sekiu Pt to Kydaka,28.5,2.3,11,11,1 Er=Koitlah Pt; 1 Er=Mushroom Rk; 2 Er=E of Slant Rk; 2 Er=Third Beach; 4 Er=Sekiu River mouth; 1 Er=Kydaka Pt,
9/30/2009,MG/Matt,SJF,Neah Bay to Tatoosh & return,12,0.8,1,1,1 Er = Outside Jetty,
10/1/2009,MG/JS/Sarah,SJF,Neah Bay to Tatoosh & return,12,0.82,9,6,2 Er=Chibodehl Rks; 1 Er=W of Chibodehl Rks; 1 Er= E of Slant Rk; 2 Er=Slant Rk; 3 Er=betw. Gut and Koitlah on return survey (no photos),
10/6/2009,MG/JS/Sarah,NWC,Tatoosh to Sea Lion Rk  & return,56,2.83,8,8,1 Er=E of Carroll Is; 3 Er= N of Carroll Is; 4 Er=SE of Sea Lion Rock,
10/6/2009,MG/PJG ,SJF,Neah Bay to Tatoosh to Kydaka&return,33,2.82,2,1,1 Er = off Sail River; 1 Er = off Third Beach reef (no photo),
11/4/2009,MG/PJG ,NWC,Tatoosh to Skagway & return,3,0.28,0,0,too rough for survey; return to SJF,
11/4/2009,MG/PJG,SJF,NB to Tatoosh to Kydaka Pt&return,33,2.82,3,1,1 Er=off Sail River; 1 Er=off Third Beach; 1 Er= Snow Creek,
5/6/2010,MG/JS,SJF,Neah Bay to Tatoosh and return,12,0.77,0,0,,
5/6/2010,MG/JS,NWC,Tatoosh to Sea Lion Rk. & return,56,4.1,1,1,"south of Umatilla; poor shot, bad weather",
5/11/2010,MG ,SJF,NB to Sekiu to Tatoosh & return,39,3.05,0,0,,
5/12/2010,MG/JS,SJF,Neah Bay to Tatoosh and return,12,0.83,0,0,,
5/12/2010,MG/JS,NWC,Tatoosh to Sea Lion Rk. & return,56,4.283,0,0,,
6/30/2010,MG/PJG,SJF,Neah Bay to Kydaka Pt. & return,21,1.87,0,0,,
7/1/2010,MG/PJG,SJF,Neah Bay to Tatoosh and return,12,0.783,0,0,,
7/1/2010,MG/PJG,NWC,Tatoosh to Carroll Island,28,1.8,1,1,east of East Bodelteh,
7/8/2010,MG/MM,SJF,Neah Bay to Tatoosh and return,12,0.6,0,0,,
7/8/2010,MG/MM,NWC,Tatoosh to Sea Lion Rk. & return,40,2.28,0,0,periodic fog and poor visibility; MG always at wheel; Mike Muerner doesn't run boats,
7/8/2010,PJG/JH,SOR,Rogue River to Cape Blanco & return,55,4,4,3,"all Er at Cape Blanco; 4th Er breached and was gone, no photos",
8/4/2010,MG/PJG/JS,SJF,Neah Bay to Sekiu Pt. & return,24,1.75,1,1,between Rasmussen and Bullman Beach; biopsy attempt; lost whale inside Neah Bay,
8/5/2010,MG/JS/MM,SJF,Neah Bay to Tatoosh and return,6,0.333,0,0,also 6 n. mi. for 0.45 hrs surveyed in SJF with poor visibility,
8/5/2010,MG/JS/MM,NWC,Tatoosh to Sea Lion Rock,27,2.03,5,5,1 Er @ Strawberry Rock; 1 Er @ Father and Son; 2 Er off Guano Rock; 1 Er east of White Rock;,
8/11/2010,PJG/JH/JS,SJF,Neah Bay to Tatoosh and return,12,1,0,0,,
8/11/2010,PJG/JH/JS,NWC,Tatoosh to Sea Lion Rk. & return,56,4,5,5,2 Er @ Guano Rock; 3 Er @ Anderson Point;,
8/17/2010,MG/JH,SJF,Neah Bay to Tatoosh and return,12,0.733,0,0,,
8/17/2010,MG/JH,NWC,Tatoosh to Sea Lion Rk. & return,10,0.783,0,0,"Ozette to Carroll Island=visibility OK; Tatoosh to E. Bodelteh (15 n. mi., 1.17 hrs)=visibility poor",
8/18/2010,MG/JH&friend,SJF,Neah Bay to Tatoosh and return,12,0.717,0,0,,
8/18/2010,MG/JH&friend,NWC,Tatoosh to Sea Lion Rock,25,2.25,0,0,,
9/2/2010,JH/JS,SJF,Neah Bay to Tatoosh  ,6,0.5,0,0,,
9/2/2010,JH/JS,NWC,Tatoosh to Sea Lion Rock,28,2.066,2,2,1 Er @ Strawberry Rock; 1 Er @ Guano Rock and the same Er later at Chinatown,
9/3/2010,PJG/JH/JS,SJF,Neah Bay to Tatoosh,6,0.5,0,0,,
9/3/2010,PJG/JH/JS,NWC,Tatoosh to East Bodelteh,15,1.166,1,1,1 Er @ Guano Rock; dense fog from Tatoosh to Portage Head,
9/12/2010,PJG/JH/RB,NCA,Crescent City to St George Rf to Klamath River & return,40,4,1,1,1 Er NW of the Klamath River mouth; 2 Mn also photo'ed,
9/14/2010,MG/JS/MM,SJF,Neah Bay to Tatoosh,6,0.37,0,0,,
9/14/2010,MG/JS/MM,NWC,Tatoosh to East Bodelteh,15,0.9,4,3,1 Er(Quasimoto)@ Strawberry Rock;1 Er@ Shi Shi Beach;1 Er@ E. Bodelteh;1 Er off Ozette R. mouth ,
9/15/2010,MG/JS/Matt,SJF,Neah Bay to Tatoosh,12,0.65,0,0,,
9/15/2010,MG/JS/Matt,NWC,Tatoosh to Sea Lion Rock,27,2.35,3,3,1 Er @ Makah Bay; 1 Er(Quasimoto)@ Father and Son; 1 Er(Other Guy) @ E. Bodelteh,
5/5/2011,PJG/JH/JS/AA,NWC,Tatoosh to Sea Lion Rock and return,54,4.5,0,0,,
5/5/2011,PJG/JH/JS/AA,SJF,Neah Bay to Tatoosh and return,12,0.83,0,0,,
5/18/2011,MG/JS/AA,NWC,Tatoosh to Carroll Island,28,2.233,6,5,2=E. Bod.; 3=S. of Umatilla; 1=N. of Carroll Island,
5/18/2011,MG/JS/AA,SJF,Neah Bay to Tatoosh,12,0.633,0,0,,
5/19/2011,MG/JS/AA,SJF,Neah Bay to Sekiu to Tatoosh & return,39,2.7,0,0,~7 Orcas sighted and photoed outside jetty heading west,
6/12/2011,PJG/DG,SOR,Rogue River to Cape Blanco and return,55,4,0,0,,
6/13/2011,PJG/DG,NOCAL,"Crescent City,N. Seal Rk,Castle Rk &return",24,2.5,0,0,,
6/15/2011,MG/JS/AA,SJF,Neah Bay to Sekiu to Tatoosh & return,40,2.883,1,0,"sighted north of 3rd Beach reef, but lost; no photos",
6/16/2011,MG/JS/AA,NWC,Tatoosh to Sand Point and return,40,3.167,3,3,1=Strawberry Rock;  1=Father and Son;  1=East Bodelteh(biopsy),
6/16/2011,MG/JS/AA,SJF,Neah Bay to Tatoosh and return,12,0.833,0,0,,
6/28/2011,PJG/JS/JKS,NWC,Tatoosh to Sea Lion Rock and return,46,3,1,1,1=Portage Head        (also 6 Orcas sighted SE of East Bodelteh),
6/28/2011,PJG/JS/JKS,SJF,Neah Bay to Tatoosh and return,12,1,0,0,,
6/29/2011,PJG/JS/AA/JKS,NWC,Tatoosh to Sand Point and return,30,3,4,3,1=Sand Point;  2 (cow/calf)=Green Bank; 1=Skagway (no photo; travelling)     also 5-6 Orcas near Chinatown,
6/29/2011,PJG/JS/AA/JKS,SJF,Neah Bay to Tatoosh and return,12,0.75,0,0,,
7/12/2011,PJG/JH/DG,SOR,Rogue River to Cape Blanco and return,54,4.25,4,3,1=Nesike Beach; 1=S Cape Blanco; 1=Cape Blanco; 1=Orford Head,
7/13/2011,PJG/JH/MT/JO,NOCAL,"Crescent City,N. Seal Rk,Castle Rk &return",25,2.5,1,1,1=2 n.mi. south of Castle Rock,
7/19/2011,MG/AA/JKS,NWC,Tatoosh to west of Sand Point,25,2.85,4,4,1=Makah Bay; 1=N. of East Bodelteh; 2 (cow/calf)= Guano Rk; 1=W. of Ozette Is (same as sighting #2),
7/19/2011,MG/AA/JKS,SJF,Neah Bay to Tatoosh and return,12,0.85,0,0,,
8/4/2011,PJG,SJF,Neah Bay to Sekiu and return,27,2,2,0,2 (cow/calf)=seen twice at First Beach and Green Buoy,
8/10/2011,PJG/JS/JH,NWC,Tatoosh to Sea Lion Rock  ,24,2,1,1,1=Sand Point (biopsied Er),
8/10/2011,PJG/JS/JH,SJF,Neah Bay to 3rd Beach to Tatoosh,6,0.5,2,2,2 (cow/calf)= Third Beach,
8/11/2011,PJG/JS/JH/AA,NWC,Tatoosh to Sea Lion Rock,23,2,3,3,1=Sand Point;  2 (cow/calf)=Green Bank and Skagway; (also 1 large bull Orca sighted 1 nmi W of Sea Lion Rock,
8/11/2011,PJG/JS/JH/AA,SJF,Neah Bay to Tatoosh,6,0.5,0,0,,
8/17/2011,MG/AA/JKS,NWC,Tatoosh to Sea Lion Rock and return,54,3.9,3,3,2 (cow/calf)=East Bodelteh; 1=Sand Point,
8/17/2011,MG/AA/JKS,SJF,Neah Bay to Tatoosh and return,12,0.8,0,0,,
